Quote,Author,Book,Tags
"“The media’s goal is to literally challenge your ability to be still. A tough American, intent on improving upon their current self, is not tricked into an emotional reaction by these headlines. You do not write an angry tweet, you do not hurl an insult. You are cool and measured, and skeptical. You are curious what the agenda of the journalist might be and what facts or context they might be leaving out. You seek out a different story on the same topic from an opposing view, and you find out that many of the claims made in the original story were convincingly debunked. And just like that, you are a Zen master of stillness and Stoicism.”","Dan Crenshaw,",Fortitude: American Resilience in the Era of Outrage,"media, stoicism"
"“See? You're using the stoic glacier method.""  ""Remind me, what's the stoic glacier method?""  ""It's the slow process of shaping someone's behavior by force of one's own personal stoicism.”","Elizabeth Mckenzie,",The Portable Veblen,"behavioral-changes, change, relationships, stoicism"
"“There was no meaning in why he was here, but he was, and that was enough.”",AkshatThakur,N/A,"akshat-thakur, blossom-fell, meaning, optimism, philosophical-fiction, reality, stoicism"
"“I have, I hold whatever of mine I have ever had. There is no reason for you to suppose me conquered and yourself my conqueror. It is your fortune which has overcome mine. As for those fleeting possessions which change their owners, I know not where they are; what belongs to myself is with me, and ever will be.”",Seneca,N/A,"stoicism, tranquility"
"“Si len úbohá dušička nesúca mŕtvolu,” ako vravel Epiktetos.”","Marcus Aurelius,",Meditations,"death, philosophy, stoicism, stoics"
“Growth is often the cause or the result of pain.”,Mokokoma Mokhonoana,N/A,"adversity, growth, hardship, hardships, maturity, pain, personal-development, problems, self-development, stoicism"
"“Education teaches us how to make a living, not how to live.”","Mokokoma Mokhonoana,",P for Pessimism: A Collection of Funny yet Profound Aphorisms,"education, employment, how-to-live, learning, life, pessimism, reading, stoicism, teaching, wisdom"
"“Like a problem, time is nothing but a shadow of thought.”",Mokokoma Mokhonoana,N/A,"mindfulness, no-mind, no-self, problem, problems, spirituality, stoicism, thinking, yoga"
"“A still person has the ability to stop, look at a news story or another person’s arguments, and ask objective questions without emotional overreaction or assumptions of ill intent. One is centered, rational, and respected; the other is frantic, unhappy, and intellectually stagnant. Don’t be the latter.”","Dan Crenshaw,",Fortitude: American Resilience in the Era of Outrage,"media, stoicism"
"“Really, doesn't everything make sense? There are, of course, things from which we more or less recover, although some of them are too harsh even for saints. But that is no reason to accuse God. Even if there are reasons to doubt him, the fact that he did not arrange the world like a well-ordered parlor is not one of them. It rather speaks in his favor. This used to be much better understood.”","Ernst Jünger,",The Glass Bees,"fate, free-will, god, problem-of-evil, providence, stoicism, suffering"
“A surprising number of people believe that other people can hurt their feelings.”,"Vincent P. Collins,",Acceptance,"censorship, discourse, serenity, snowflakes, speech-codes, stoicism"
“The problem with pleasure is that it needs to be intermittent in order to retain its pleasantness.”,Mokokoma Mokhonoana,N/A,"asceticism, celibacy, happiness, hedonism, meditation, pain, pleasure, spirituality, stoicism, yoga"
"“Some people are lucky to no longer be, and some are unlucky to still be, alive.”",Mokokoma Mokhonoana,N/A,"death, euthanasia, life, mercy-killing, pain, pessimism, stoicism, suffering, terminal-disease, terminal-diseases"
“Appreciating what you have is the best cure for missing what you have lost.”,Mokokoma Mokhonoana,N/A,"appreciate-what-you-have, appreciation, grateful, gratitude, loss, stoicism, thankful, thankless, unappreciative, ungrateful"
"“For some reason, there is this façade that life should be full of happiness and without its suffering. Which, actually makes us suffer even more. Because when we get sad or something bad happens, we do not only feel bad about the thing itself but we also feel bad because our life is not the way it is supposed to be. Not realizing suffering and sadness is just a part of life and they are inevitable.”","Cave Man,",Modern Human's Handbook,"existentialism, façadei-happy, happiness, life, stoicism, suffering"
"“You can be invincible, if you enter into no contest in which it is not in your power to conquer.”","Epictetus,",Enchiridion,"philosophy, stoicism"
“A truth whispered is not less truthful. And an untruth shouted is not less untruthful.”,Mokokoma Mokhonoana,N/A,"arguing, argument, composure, debate, debating, fact, facts, stoicism, truth, truths"
“Destroying your mirrors leaves your facial blemishes intact.”,Mokokoma Mokhonoana,N/A,"beauty, blemish, blemishes, delusion, in-denial, makeup, self-acceptance, spirituality, stoicism, ugliness"
"“Unless you learn your lesson, it will keep hurting. Not only it will never stop, it will also keep increasing the amount, so you won’t get used to it.”","Cave Man,",Modern Human's Handbook,"pain, stoic, stoic-quotes, stoicism, suffering"
"“You are indeed a man of sorrows and have suffered much...pray be seated now, here on this chair, and let us leave our sorrows, bitter though they are, locked up in our own hearts, for weeping is cold comfort and does little good.”","Homer,",The Iliad,"grief, stoicism, suffering"
"“...but if you think that only which is your own to be your own, and if you think that what is another’s, as it really is, belongs to another, no man will ever compel you, no man will hinder you, you will never blame any man, you will accuse no man, you will do nothing involuntarily (against your will), no man will harm you, you will have no enemy, for you will not suffer any harm.”",Epicetus,N/A,"mindfulness, philosophy, stoicism"
“Let death and exile and every other thing which appears dreadful be daily before your eyes; but most of all death: and you will never think of anything mean nor will you desire anything extravagantly.”,"Epictetus,",Enchiridion,"philosophy, stoicism"
"“However one may interpret this culturally, the upshot is the same: people carry within them a great number of wishes to which they react passively and which they hide. Stoicism, in our day, is not strength to overcome wishes, but to hide them. To a patient who, let us say, is interminably rationalizing and justifying this and that, balancing one thing against another as though life were a tremendous market place where all the business is done on paper and tickertape and there are never any  goods , I sometimes have the inclination in psychotherapy to shout out, “Don't you ever  want  anything?” But I don't cry out, for it is not difficult to see that on some level the patient does want a good deal; the trouble is he has formulated and reformulated it, until it is the “rattling of dry bones,” as Eliot puts it. Tendencies have become endemic in our culture for our denial of wishes to be rationalized and accepted with the belief that this denial of the wish will result in its being fulfilled. And whether the reader would disagree with me on this or that detail, our psychological problem is the same: it is necessary for us to help the patient achieve some emotional viability and honesty by bringing out his wishes and his capacity to wish. This is not the end of therapy but it is an essential starting point.”","Rollo May,",Love and Will,"cognitive-behavior-therapy, stoicism, wishes"
"“Some of our problems came to us; some, we went to them.”","Mokokoma Mokhonoana,",F for Philosopher: A Collection of Funny Yet Profound Aphorisms,"adversity, life, problems, responsibility, self-imposed, stoicism, wisdom, words-of-wisdom, words-to-live-by, yoga"
“It is foolish to give up on yourself. And doubly so to do that before everyone has given up on you.”,Mokokoma Mokhonoana,N/A,"do-not-give-up, don-t-give-up, entrepreneurship, give-up, giving-up, life, motivation, never-give-up, self-reliance, stoicism"
"“When you are unhappy, happy people are disgusting.”","Mokokoma Mokhonoana,",F for Philosopher: A Collection of Funny Yet Profound Aphorisms,"happiness, happy, happy-people, jealous, jealousy, pessimism, stoicism, unhappiness, unhappy, unhappy-people"
"“When you are alone, you should call this tranquility and freedom and when you are with many you shouldn’t call this a crowd, or trouble or uneasiness but festival and company and contentedly accept it.”","Epictetus,",Discources and Selected Writings,stoicism
“Destroying your mirrors hides your ugliness or facial blemishes from only you.”,Mokokoma Mokhonoana,N/A,"blemishes, denial, mirror, mirrors, philosophy, reality, self-acceptance, stoicism, ugliness, ugly"
“Fools refuse to truly believe that a thing can be both delicious or pleasurable … and harmful.”,Mokokoma Mokhonoana,N/A,"delicious, fasting, fitness, harm, harmful, health, junk-food, pleasurable, pleasure, stoicism"
“99.99% of fools deny their foolishness. The rest underestimate it.”,Mokokoma Mokhonoana,N/A,"fool, foolish, fools, intellect, intelligence, stoicism, stupid, stupidity, wisdom, wise"
"“When conversing, some people regularly stop talking, not to listen, but to rest their tongues.”",Mokokoma Mokhonoana,N/A,"arrogance, conversation, dialogue, ego, listener, listening, monologue, narcissism, stoicism, vanity"
"“Rubaiyat Revină-n glasul meu persanul vers Spre a ne aminti că timpul-i un divers Mod de-a urzi avide visuri vane, În taine risipite-n univers. Din nou să spună că țărână-i focul, Țărână-i trupul, și că asta-i jocul: Viața mea și-a ta sunt râu ce curge Necontenit și repede-n tot locul.  Și că impunătorul monument Zidit cu trudă, din trufie, lent, Un vânt fugar e numai, că-n lumina Lui Dumnezeu un veac e un moment. ... Te rog, persană lună, să revii, Și voi, incerte-apusuri aurii. Azi e ieri. Nu ește decât ceilalți. Tărână-i chipul lor. Cu morții-învii.”",Jorges Luis Borges,N/A,"borges, classicism, omar-khayyam, poetry, stoicism"
“Some of the people who we think care that we hate them do not even care that there are people who love them.”,Mokokoma Mokhonoana,N/A,"buddhism, hate, haters, hatred, ignore-everybody, love, pessimism, philosophy, self-reliance, stoicism"
“Sometimes you find yourself so grateful that a prayer of yours was not answered that you pray that it be ignored. Just in case it is on the waiting list of prayers to be answered.”,Mokokoma Mokhonoana,N/A,"answered-prayer, answered-prayers, prayer, prayers, praying, stoicism, unanswered-prayer, unanswered-prayers, wisdom, yoga"
“A desired thing often comes with seeds of at least one desire.”,Mokokoma Mokhonoana,N/A,"desire, desireless, desirelessness, fulfillment, meditation, spirituality, stoicism, success, unfulfillment, yoga"
“How does a person deal with all the heartache and tragedy that fills their life without becoming insane or committing suicide?”,Kilroy J Oldster,N/A,"chronic-pain, existential, existentialism, heartache, stoicism, suffering, suicide, tragedy, tragedy-of-life"
"“Admitting that their child is, or can be, more educated than them is the closest most parents are willing to get to admitting that their child is, or can be, smarter or wiser than them.”",Mokokoma Mokhonoana,N/A,"arrogance, critical-thinking, education, ignorance, intellect, intelligence, parenting, smart, stoicism, wisdom"
“Poverty is greatly exaggerated by sanity.”,Mokokoma Mokhonoana,N/A,"insane, insanity, minimalism, poor, poverty, rich, sane, sanity, spirituality, stoicism"
"“We get a taste of death, not when we’re asleep, but when we awake.”",Mokokoma Mokhonoana,N/A,"buddhism, consciousness, death, funeral, life, meditation, memorial-service, sleep, stoicism, yoga"
"“Like great ecologists, great pessimists make us see the beauty of death.”",Mokokoma Mokhonoana,N/A,"death, ecology, funeral, immortality, life, memorial-service, mortality, pessimism, spirituality, stoicism"
“We subconsciously wish that all of the things we hate but our enemies love were harmful.”,Mokokoma Mokhonoana,N/A,"enemies, enemy, hate, hatred, love, psychoanalysis, psychology, stoicism, subconscious, subconsciousness"
“No man is good by chance. Virtue is something which must be learned.”,"Seneca,",Letters from a Stoic,"stoic, stoicism"
"“Don't just say you have read books. Show that through them you have learned to think better, to be a more discriminating and reflective person. Books are the training weights of the mind. They are very helpful, but it would be a bad mistake to suppose that one has made progress simply by having internalized their contents.”","Epictetus,",THE ART OF LIVING,"books, learning, stoic, stoicism, wisdom"
"“For I am not everlasting, but a human being, a part of the whole as an hour is a part of the day. Like an hour I must come, and like an hour pass away.”","Epictetus,","Discourses, Fragments, Handbook","epictetus, life, stoicism"
“A fool’s plans are entertainment for the wise.”,Mokokoma Mokhonoana,N/A,"experience, new-year-s-resolution, planner, planning, plans, realistic, stoicism, stupidity, unrealistic, wisdom"
“Nobody is stopping you from using things such as your ability to read or hear as your definition of ‘success’ or ‘wealth’.”,Mokokoma Mokhonoana,N/A,"count-your-blessings, failure, gratitude, stoicism, success, successful, wealth, yoga"
“It is humbling to realize that what you hate (the most) about someone is actually what they love (the most) about themselves.”,Mokokoma Mokhonoana,N/A,"arrogance, character, hate, hatred, humility, love, personality, relationships, self-love, stoicism"
“Some people deny the existence of God in order to give themselves credit for their successes. Some accept His existence in order to deny responsibility for their failures.”,Mokokoma Mokhonoana,N/A,"arrogance, atheism, failure, god, humanism, humility, religion, responsibility, stoicism, success"
"“Usually, that which could have been better could have been worse.”",Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, grateful, gratitude, life, perspective, stoicism, thankful, ungrateful, unthankful"
“Some people get killed by water. Some die from dehydration.”,Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, dehydration, drown, flood, floods, life, pessimism, stoicism, water"
"“The universe is change, and life mere opinion.”",Democrates,N/A,"marcus-aurelius, stoicism"
“Education almost always leaves stupidity intact.”,Mokokoma Mokhonoana,N/A,"dropout, dropouts, education, reading, school, stoicism, stupid, stupidity, the-university-of-life, wisdom"
"“A true believer in God prays only to thank, never to ask; and welcomes, with open arms, every single thing that is happening.”",Mokokoma Mokhonoana,N/A,"atheism, church, ego, god, prayer, praying, religion, spirituality, stoicism, surrender"
"“[...] so läßt der, welcher der Lust nachjagt, alles andere liegen, und die Freiheit ist das erste, was er preisgibt [...]”","Seneca,",Vom glückseligen Leben / Von der Kürze des Lebens,"happy-life, philosophy, seneca, stoicism"
“Change is not always a bad thing: it sometimes takes the form of progress. And is not always a good thing: it sometimes takes the form of regress.”,Mokokoma Mokhonoana,N/A,"change, consistency, development, growth, life, politics, progress, regress, stoicism, technology"
"“Some things do not make sense, not in themselves, but to some people.”",Mokokoma Mokhonoana,N/A,"intellect, intelligence, meaning, sense, senseless, stoicism, stupid, stupidity, thinking, wisdom"
“Giving in to sleep is a great opportunity to practice letting go of life.”,Mokokoma Mokhonoana,N/A,"attachment, death, goodnight, life, meditation, non-attachment, sleep, spirituality, stoicism, yoga"
“What some people regard as an expression of freedom is actually that of slavery.”,Mokokoma Mokhonoana,N/A,"addiction, freedom, hedonism, liberation, pleasure, rights, self-control, self-mastery, slavery, stoicism"
"“Engineers can prove that a bumblebee, with its heavy body and little bitty wings, can't fly. But nobody tells the bumblebees ... and they fly just fine.”",Bill Bowerman,N/A,"bowerman, inspirational, running, stoicism"
"“At the crisis of my fever, I besought Hollingsworth to let nobody else enter the room, but continually to make me sensible of his own presence… then he should be the witness how courageously I would encounter the worst. It still impresses me almost a matter of regret, that I did not die then, when I had tolerably made up my mind to do it”","Nathaniel Hawthorne,",The Blithedale Romance,"humour, illness, stoicism"
“Nothing can affect a person’s mind if he chooses not to be affected by it.”,"Cave Man,",Modern Human's Handbook,"stoic, stoic-quotes, stoic-thoughts, stoicism"
"“We have, not problems, but negative attitudes towards some situations (towards which some people have or would have positive attitudes).”",Mokokoma Mokhonoana,N/A,"adversity, attitude, attitude-is-everything, hardship, life, optimism, pessimism, problems, spirituality, stoicism"
“The fact that we are all going to die prevents the vast majority of people from being driven insane by the fact that they are going to die.”,Mokokoma Mokhonoana,N/A,"buddhism, death, funeral, immortality, insanity, mortality, psychology, repression, sanity, stoicism"
"“Zu den herrlichsten Schätzen, die durch die Bemühungen anderer aus der Finsternis ans Licht gezogen sind, werden wir geführt; kein Zeitalter ist uns verschlossen, zu allen haben wir Zutritt [...] Die Zusammenfassung aller Zeiten macht ihm [/ihr] das Leben lang.”","Seneca,",Vom glückseligen Leben / Von der Kürze des Lebens,"happy-life, philosophy, seneca, short-life, stoicism"
“An emotion is a mild mental illness.”,Mokokoma Mokhonoana,N/A,"emotion, emotional, emotions, meditation, mindfulness, philosophy, rational, reason, stoicism, yoga"
"“All too often, a wise or free person is ridiculed, because of ignorance, by fools or slaves.”",Mokokoma Mokhonoana,N/A,"critical-thinking, fools, freedom, ignorance, independent-thinking, ridicule, slavery, stoicism, stupidity, wisdom"
"“Seeing that our birth involves the blending of these two things—the body, on the one hand, that we share with animals, and, on the other hand, rationality and intelligence, that we share with the gods—most of us incline to this former relationship, wretched and dead though it is, while only a few to the one that is divine and blessed.”","Epictetus,",Enchiridion,"determinism, intelligence, rationality, stoicism, virtue"
"“Life sometimes delays giving us the thing we are forever praying or working hard for, until it has managed to show us that that thing is not that important, or important at all.”",Mokokoma Mokhonoana,N/A,"ambition, dreams, hard-work, life, materialism, minimalism, prayer, spirituality, stoicism, success"
“Escaping death is a temporary victory.”,Mokokoma Mokhonoana,N/A,"death, funeral, memorial-service, mortality, pessimism, rest-in-peace, rip, spirituality, stoicism, survival"
"“Perhaps I did not always love him so well as I do now. But in such cases as these, a good memory is unpardonable.”","Jane Austen,",Pride and Prejudice,"love, memory, past, stoicism"
"“The fear of being poor or broke is a blessing, if you are a successful entrepreneur; but is a curse, if you want to be an entrepreneur.”",Mokokoma Mokhonoana,N/A,"bootstrapping, business, entrepreneur, entrepreneurs, entrepreneurship, money, poor, poverty, stoicism, success"
“Heartless’ is a label that is all too often wrongly given to someone who is rational by someone who is emotional.”,Mokokoma Mokhonoana,N/A,"emotional, emotions, heartless, irrational, rational, rationality, reason, stoic, stoicism, sympathy"
“There is a correlation between how seriously we take life and how many problems it gives us.”,Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, buddhism, life, playfulness, problems, serious, seriousness, stoic, stoicism"
“Silence is often the wisest reply.”,Mokokoma Mokhonoana,N/A,"arguing, argument, fighting, fool, foolish, quarrel, silence, stoicism, wisdom, wise"
"“Soon earth will cover us all. Then in time earth, too, will change; later, what issues from this change will itself in turn incessantly change, and so again will all that then takes its place, even unto the world's end. to let the mind dwell on these swiftly rolling billows of change and transformation is to know a contempt for all things mortal.”","Marcus Aurelius,",Meditations,"meaning-of-life, philosophy, stoicism, worrying-about-the-future"
"“Let Nature make whatever use she pleases of matter, which is her own: lets us be cheerful and brave in the face of all, and consider that nothing of our own perishes. What is the duty of a good man? To offer himself to fate.”","Seneca,",Dialogues and Essays,"inspirational, philosophy-of-life, stoicism"
“An accident is often caused by an attempt to prevent one.”,Mokokoma Mokhonoana,N/A,"accident, accidents, calm, calmness, panic, prevent-an-accident, prevention, prevention-is-better-than-cure, stoicism, surrender"
"“Happiness prefers to live inside those who do not have preferences, because it never gets evicted there.”",Mokokoma Mokhonoana,N/A,"happiness, happy, preference, preferences, spirituality, stoic, stoicism, surrender, unhappiness, unhappy"
“A man is as much a fool for shedding tears because he isn't going to be alive a thousand years from now.”,"Seneca,",Letters from a Stoic,"seneca, stoicism"
“Some of those whose existence you wish could end now do not even know about your existence.”,Mokokoma Mokhonoana,N/A,"buddhism, enemies, enemy, hate, haters, hatred, malice, spirituality, stoicism, zen"
“The curse of mortality is the other side of the coin of the blessing of life.”,Mokokoma Mokhonoana,N/A,"blessing, blessings, curse, curses, death, funeral, life, mortality, rip, stoicism"
"“We prefer our way into things such as regret, unhappiness, and anxiety.”",Mokokoma Mokhonoana,N/A,"anxiety, prefer, preference, preferences, regret, spirituality, stoicism, surrender, unhappiness, yoga"
"“Some people who have been sentenced for life for crimes they did not commit are usually blissful, whereas many people who can go to any part of planet earth are usually miserable.”",Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, bliss, happiness, miserable, misery, stoicism, the-pursuit-of-happiness, unhappiness, unhappy"
“The wise willingly accept the unwillingness of the foolish to accept what is as part of what is.”,Mokokoma Mokhonoana,N/A,"buddhism, fool, fools, in-denial, meditation, reality, stoicism, surrender, wisdom, wise"
"“If you work at that which is before you, following right reason seriously, vigorously, calmly, without allowing anything else to distract you, but keeping your divine part pure, as if you should be bound to give it back immediately; if you hold to this, expecting nothing, fearing nothing, but satisfied with your present activity according to nature, and with heroic truth in every word and sound which you utter, you will live happy. And there is no-one who is able to prevent this.”","Marcus Aurelius,",The Meditations of Marcus Aurelius,stoicism
"“Human beings are makers, usually of a mountain out of a molehill.”",Mokokoma Mokhonoana,N/A,"adversity, buddhism, civilization, gratitude, imagination, mindfulness, peace-of-mind, spirituality, stoicism, zen"
“Life is happening neither to nor for but through us.”,Mokokoma Mokhonoana,N/A,"adversity, ego, hardship, life, non-duality, nonduality, problems, spirituality, stoicism, yoga"
“The vast majority of people make complaining seem to be a basic human need.”,Mokokoma Mokhonoana,N/A,"adversity, attitude, attitude-is-everything, basic-human-need, basic-human-needs, complain, complaining, needs, stoic, stoicism"
"“The thing whose acquisition ‘made’ you happy need not be stolen, lost, or broken for ‘it’ to make you unhappy.”",Mokokoma Mokhonoana,N/A,"consumerism, happiness, happy, materialism, minimalism, pursuit-of-happiness, stoicism, the-pursuit-of-happiness, unhappiness, unhappy"
"“And, just as it is harder to have good qualities when one is rich than when one is poor, it is harder to be a Stoic when one is wealthy, powerful, and respected than when one is destitute, miserable, and lonely.”","Nassim Nicholas Taleb,",The Black Swan: The Impact of the Highly Improbable,stoicism
“Seeing your loved one asleep is a great opportunity to practice seeing them dead.”,Mokokoma Mokhonoana,N/A,"buddhism, death, funeral, life, mortality, rest-in-peace, rip, sleep, stoicism, yoga"
“We are all capable of laughing at what is meant or expected to make us unhappy or angry.”,Mokokoma Mokhonoana,N/A,"anger, angry, attitude, freedom, stoicism, unhappiness, unhappy, wisdom, words-of-wisdom, words-to-live-by"
"“Love, unless it is for life as a whole, is contaminated by things such as our preferences and memories.”",Mokokoma Mokhonoana,N/A,"love, meditation, memories, memory, non-duality, preference, preferences, spirituality, stoicism, yoga"
“The degree of our happiness is not determined by (what we regard as) the source of our happiness.”,Mokokoma Mokhonoana,N/A,"consumerism, happiness, happy, materialism, minimalism, poverty, stoicism, unhappiness, unhappy, wealth"
“Sleep is often a form of escapism.”,Mokokoma Mokhonoana,N/A,"buddhism, depression, dystopia, escapism, reality, sleep, spirituality, stoicism, stress, utopia"
"“The same situation can either be perceived as a lead ball chained to your feet, or as wings growing out of your shoulder blades. How you interpret the challenge is crucial to your success of overcoming it. Ultimately, it's never the challenges that matter, but how you perceive them.”","Jonas Salzgeber ,","The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",stoicism
"“If you are pained by any external tiling, it is not this things that disturbs you, but your own judgment about it. And it is in your power to wipe out this judgment now"".”","Jonas Salzgeber,","The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",stoicism
“Stoicism is a logical philosophy.”,Ron Hall,N/A,stoicism
“Meditation can make an hour feel slightly longer … than a sneeze.”,Mokokoma Mokhonoana,N/A,"impatience, mediation, mindfulness, patience, perception, spirituality, stillness, stoicism, time, yoga"
"“If an adult has just moved as fast as a child, from crying to laughing, then it is either the laughter is fake, or they are being tickled.”",Mokokoma Mokhonoana,N/A,"adult, adults, child, children, forgives, grudges, laughter, mindfulness, stoicism, yoga"
“Our deaths are not obliged to happen in the same order as our births.”,Mokokoma Mokhonoana,N/A,"buddhism, dead, death, funeral, life, mortality, rest-in-peace, rip, stoicism, yoga"
"“Remember that you must behave in life as at a dinner party. Is anything brought around to you? Put out your hand and take your share with moderation. Does it pass by you? Don’t stop it. Is it not yet come? Don’t stretch your desire towards it, but wait till it reaches you. Do this with regard to children, to a wife, to public posts, to riches, and you will eventually be a worthy partner of the feasts of the gods. And if you don’t even take the things which are set before you, but are able even to reject them, then you will not only be a partner at the feasts of the gods, but also of their empire.”","Epictetus,",The Enchiridion & Discourses of Epictetus,"desire, greed, moderation, stoicism"
“People often give us a piece of their mind with the intention to take away our peace of mind.”,Mokokoma Mokhonoana,N/A,"buddhism, express, opinion, opinions, peace, peace-of-mind, piece-of-mind, serenity, stoicism, tranquility"
"“Never call yourself a philosopher, nor talk a great deal among the unlearned about theorems, but act conformably to them. Thus, at an entertainment, don’t talk how persons ought to eat, but eat as you ought. For remember that in this manner Socrates also universally avoided all ostentation. And when persons came to him and desired to be recommended by him to philosophers, he took and recommended them, so well did he bear being overlooked. So that if ever any talk should happen among the unlearned concerning philosophic theorems, be you, for the most part, silent. For there is great danger in immediately throwing out what you have not digested. And, if anyone tells you that you know nothing, and you are not nettled at it, then you may be sure that you have begun your business. For sheep don’t throw up the grass to show the shepherds how much they have eaten; but, inwardly digesting their food, they outwardly produce wool and milk. Thus, therefore, do you likewise not show theorems to the unlearned, but the actions produced by them after they have been digested.”","Epictetus,",The Enchiridion & Discourses of Epictetus,"learning, modesty, philosophy, stoicism"
"“The wise remind themselves that ‘This too shall pass’ even when things are good; the foolish, only when things are bad.”",Mokokoma Mokhonoana,N/A,"adversity, bad-times, do-not-give-up, good-times, motivation, never-give-up, perseverance, stoicism, this-too-shall-pass, wisdom"
"“And if you want to know why all this running away cannot help you, the answer is simply this: you are running away in your own company.”","Seneca,",Letters from a Stoic,"letters, philosophy, stoicism"
"“Philosophy is not an occupation of a popular nature, nor is it pursued for the sake of self-advertisement. Its concern is not with words, but with facts. It is not carried on with the object of passing the day in an entertaining sort of way and taking the boredom out of leisure. It moulds and builds the personality, orders one’s life, regulates one’s conduct, shows one what one should do and what one should leave undone, sits at the helm and keeps one on the correct course as one is tossed about in perilous seas. Without it no one can lead a life free of fear or worry. Every hour of the day countless situations arise that call for advice, and for that advice we have to look to philosophy.”","Seneca,",Letters from a Stoic,"philosophy, seneca, stoicism"
"“Happiness is an inevitable result of embracing, and unhappiness that of rejecting, what is.”",Mokokoma Mokhonoana,N/A,"depression, happiness, reality, spirituality, stoicism, stress, surrender, unhappiness, wisdom, words-of-wisdom"
“Hatred and love are equally enslaving.”,Mokokoma Mokhonoana,N/A,"ambition, emotions, freedom, hate, hatred, love, passion, slavery, stoicism, yoga"
"“A man’s wealth must be determined by the relation of his desires and expenditures to his income. If he feels rich on ten dollars, and has everything else he desires, he really is rich.”",John Davison Rockefeller,N/A,stoicism
“Equanimity is often mistaken for depression.”,Mokokoma Mokhonoana,N/A,"bliss, calm, depress, depression, equanimity, equanimous, serene, serenity, stoic, stoicism"
"“To some of us, these are the good old days in the making.”",Mokokoma Mokhonoana,N/A,"adversity, good-old-days, gratitude, pessimism, pessimist, stoicism, the-past, the-power-of-now, the-present, the-present-moment"
"“It takes, not cowardice, but courage to kill yourself.”",Mokokoma Mokhonoana,N/A,"courage, courageous, coward, cowardice, depression, fear, kill-yourself, pessimism, stoicism, suicide"
"“Но в этом-то и состоит сила стоицизма: признание фундаментальной истины, что мы можем контролировать только свое поведение, но не его результаты (не говоря уже о результатах поведения других людей), дает нам способность невозмутимо принимать происходящее. Это происходит, потому что мы знаем: сделано все возможное и все зависящее от нас в данных обстоятельствах.”","Massimo Pigliucci,",How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,stoicism
"“Но Эпиктет призывал мужественно смотреть в лицо реальности, а реальность такова, что все люди смертны и никто из них не принадлежит нам и не останется с нами навечно. [...] Признав эту реальность, мы понимаем, что должны наслаждаться любовью наших близких и общением с ними, когда это возможно, а не принимать их как должное: ведь неминуемо настанет день, когда «установленное время года» пройдет.”","Massimo Pigliucci,",How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,stoicism
"“why should I demand from fortune that she should give me this and that rather than demand from myself that I should not ask for them? why should I ask for them, after all? am I to pile them up in total forgetfulness of the frailty of human existence?”","Seneca,",Letters from a Stoic,"letters, seneca, stoicism"
"“The second best thing to not chasing success is chasing success that was defined by you, not for you.”",Mokokoma Mokhonoana,N/A,"conformity, consumerism, happiness, materialism, minimalism, non-conformity, peer-pressure, self-reliance, stoicism, success"
"“Истории о великих деяниях не только вдохновляют нас, не только будят в нас все лучшее и усиливают нашу веру в человека, но и напоминают о том, насколько проще и безопаснее стала сегодня жизнь для большинства из нас. Разве требуется так уж много мужества, чтобы противостоять боссу, который плохо обошелся с вашим коллегой? Худшее, что с вами может случиться, — это увольнение. Но ведь вас не будут пытать и не посадят в одиночную камеру, как Стокдейла, так неужели трудно вести себя достойно и честно в повседневной жизни? Если на то пошло, сохранить свою честь можно и не прибегая к жестокому самоубийству, как Катон. Только представьте, насколько лучше стал бы наш мир, если бы все мы каждый день проявляли чуть больше мужества, мудрости, умеренности и боролись против несправедливости.”","Massimo Pigliucci,",How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,stoicism
“Some people are a degree of impatience away from wishing a year were only a few weeks long.”,Mokokoma Mokhonoana,N/A,"buddhism, delay, failure, impatience, impatient, patience, patient, stoicism, success, yoga"
"“When someone wrongs you, ask yourself: What made him do it? Once you understand his concept of good and evil, you'll feel sorry for him and cease to either be amazed or angry. If his concept is similar to yours, then you will be bound to forgive him since you would have acted as he did in similar circumstances. But if you do not share his ideas of good and evil, then you should find it even easier to overlook the wrongs of someone who is confused and in a moral muddle"".”",Marcus Aurelius,N/A,"philosophy, stoicism"
“How was your day?’ ought to be ‘How did you look at your day?”,Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, bad-day, depression, good-day, great-day, how-was-your-day, stoicism, stress, zen"
“Sometimes we are lucky to lose something or someone.”,Mokokoma Mokhonoana,N/A,"attachment, attitude, breakup, buddhism, divorce, loss, non-attachment, stoicism, surrender, zen"
"“For our happiness or unhappiness, we have only what we think about something or someone to thank or blame.”",Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, buddhism, happiness, happy, stoicism, unhappiness, unhappy, words-of-wisdom, words-to-live-by"
